qid,country,wave,q101CLEAN,q102CLEAN,q709CLEAN,a1,rID
791,palestine,1,very good,much better,oppose,NA,1
555,palestine,1,very good,much better,oppose,NA,2
795,palestine,1,very good,much better,NA,NA,3
797,palestine,1,very good,much better,oppose,NA,4
170,palestine,1,very good,much better,oppose,NA,5
568,palestine,1,very good,somewhat better,oppose,NA,6
131,palestine,1,very good,somewhat better,accept,NA,7
746,palestine,1,very good,somewhat better,accept,NA,8
1194,palestine,1,very good,somewhat better,oppose,NA,9
253,palestine,1,very good,almost the same as the current situation,oppose,NA,10
116,palestine,1,very good,almost the same as the current situation,oppose,NA,11
499,palestine,1,very good,almost the same as the current situation,oppose,NA,12
628,palestine,1,very good,almost the same as the current situation,oppose,NA,13
629,palestine,1,very good,somewhat worse,oppose,NA,14
257,palestine,1,very good,somewhat worse,oppose,NA,15
989,palestine,1,very good,somewhat worse,oppose,NA,16
1066,palestine,1,very good,somewhat worse,oppose,NA,17
94,palestine,1,very good,much worse,oppose,NA,18
482,palestine,1,good,much better,oppose,NA,19
1147,palestine,1,good,much better,oppose,NA,20
381,palestine,1,good,much better,oppose,NA,21
185,palestine,1,good,much better,oppose,NA,22
634,palestine,1,good,much better,oppose,NA,23
904,palestine,1,good,much better,accept,NA,24
1035,palestine,1,good,much better,oppose,NA,25
159,palestine,1,good,much better,oppose,NA,26
758,palestine,1,good,much better,NA,NA,27
590,palestine,1,good,much better,accept,NA,28
803,palestine,1,good,much better,oppose,NA,29
1113,palestine,1,good,much better,oppose,NA,30
301,palestine,1,good,much better,oppose,NA,31
1072,palestine,1,good,much better,oppose,NA,32
1229,palestine,1,good,much better,oppose,NA,33
1057,palestine,1,good,much better,oppose,NA,34
1148,palestine,1,good,much better,accept,NA,35
329,palestine,1,good,much better,oppose,NA,36
747,palestine,1,good,much better,oppose,NA,37
115,palestine,1,good,much better,oppose,NA,38
113,palestine,1,good,much better,oppose,NA,39
1038,palestine,1,good,much better,oppose,NA,40
750,palestine,1,good,much better,oppose,NA,41
1009,palestine,1,good,much better,oppose,NA,42
915,palestine,1,good,much better,oppose,NA,43
714,palestine,1,good,much better,oppose,NA,44
480,palestine,1,good,much better,oppose,NA,45
472,palestine,1,good,much better,oppose,NA,46
878,palestine,1,good,much better,oppose,NA,47
6,palestine,1,good,somewhat better,oppose,NA,48
897,palestine,1,good,somewhat better,oppose,NA,49
195,palestine,1,good,somewhat better,oppose,NA,50
1165,palestine,1,good,somewhat better,oppose,NA,51
510,palestine,1,good,somewhat better,oppose,NA,52
1180,palestine,1,good,somewhat better,oppose,NA,53
656,palestine,1,good,somewhat better,oppose,NA,54
712,palestine,1,good,somewhat better,oppose,NA,55
745,palestine,1,good,somewhat better,oppose,NA,56
743,palestine,1,good,somewhat better,accept,NA,57
789,palestine,1,good,somewhat better,accept,NA,58
196,palestine,1,good,somewhat better,oppose,NA,59
1267,palestine,1,good,somewhat better,oppose,NA,60
333,palestine,1,good,somewhat better,oppose,NA,61
62,palestine,1,good,somewhat better,oppose,NA,62
862,palestine,1,good,somewhat better,oppose,NA,63
1040,palestine,1,good,somewhat better,oppose,NA,64
716,palestine,1,good,somewhat better,oppose,NA,65
921,palestine,1,good,somewhat better,oppose,NA,66
193,palestine,1,good,somewhat better,oppose,NA,67
891,palestine,1,good,somewhat better,oppose,NA,68
276,palestine,1,good,somewhat better,oppose,NA,69
896,palestine,1,good,somewhat better,oppose,NA,70
534,palestine,1,good,somewhat better,NA,NA,71
512,palestine,1,good,somewhat better,oppose,NA,72
52,palestine,1,good,somewhat better,oppose,NA,73
1238,palestine,1,good,somewhat better,oppose,NA,74
1230,palestine,1,good,somewhat better,NA,NA,75
602,palestine,1,good,somewhat better,oppose,NA,76
741,palestine,1,good,somewhat better,oppose,NA,77
448,palestine,1,good,somewhat better,oppose,NA,78
55,palestine,1,good,somewhat better,oppose,NA,79
613,palestine,1,good,somewhat better,oppose,NA,80
1132,palestine,1,good,somewhat better,oppose,NA,81
676,palestine,1,good,somewhat better,oppose,NA,82
500,palestine,1,good,somewhat better,oppose,NA,83
1097,palestine,1,good,somewhat better,oppose,NA,84
1054,palestine,1,good,somewhat better,accept,NA,85
392,palestine,1,good,somewhat better,oppose,NA,86
1252,palestine,1,good,somewhat better,accept,NA,87
39,palestine,1,good,somewhat better,oppose,NA,88
748,palestine,1,good,somewhat better,accept,NA,89
610,palestine,1,good,somewhat better,accept,NA,90
654,palestine,1,good,somewhat better,accept,NA,91
1202,palestine,1,good,somewhat better,accept,NA,92
1024,palestine,1,good,somewhat better,oppose,NA,93
89,palestine,1,good,somewhat better,accept,NA,94
817,palestine,1,good,somewhat better,oppose,NA,95
1209,palestine,1,good,somewhat better,oppose,NA,96
1039,palestine,1,good,somewhat better,oppose,NA,97
458,palestine,1,good,somewhat better,NA,NA,98
1236,palestine,1,good,somewhat better,oppose,NA,99
1197,palestine,1,good,somewhat better,oppose,NA,100
667,palestine,1,good,somewhat better,oppose,NA,101
618,palestine,1,good,somewhat better,oppose,NA,102
963,palestine,1,good,somewhat better,oppose,NA,103
1225,palestine,1,good,somewhat better,oppose,NA,104
851,palestine,1,good,somewhat better,accept,NA,105
830,palestine,1,good,almost the same as the current situation,oppose,NA,106
313,palestine,1,good,almost the same as the current situation,accept,NA,107
633,palestine,1,good,almost the same as the current situation,oppose,NA,108
910,palestine,1,good,almost the same as the current situation,oppose,NA,109
551,palestine,1,good,almost the same as the current situation,oppose,NA,110
391,palestine,1,good,almost the same as the current situation,oppose,NA,111
639,palestine,1,good,almost the same as the current situation,oppose,NA,112
363,palestine,1,good,almost the same as the current situation,oppose,NA,113
183,palestine,1,good,almost the same as the current situation,oppose,NA,114
382,palestine,1,good,almost the same as the current situation,oppose,NA,115
832,palestine,1,good,almost the same as the current situation,oppose,NA,116
533,palestine,1,good,almost the same as the current situation,oppose,NA,117
543,palestine,1,good,almost the same as the current situation,oppose,NA,118
133,palestine,1,good,almost the same as the current situation,oppose,NA,119
237,palestine,1,good,almost the same as the current situation,oppose,NA,120
1137,palestine,1,good,almost the same as the current situation,accept,NA,121
914,palestine,1,good,almost the same as the current situation,oppose,NA,122
652,palestine,1,good,almost the same as the current situation,accept,NA,123
658,palestine,1,good,almost the same as the current situation,oppose,NA,124
446,palestine,1,good,almost the same as the current situation,oppose,NA,125
608,palestine,1,good,almost the same as the current situation,oppose,NA,126
134,palestine,1,good,almost the same as the current situation,oppose,NA,127
25,palestine,1,good,almost the same as the current situation,accept,NA,128
742,palestine,1,good,almost the same as the current situation,oppose,NA,129
850,palestine,1,good,almost the same as the current situation,oppose,NA,130
744,palestine,1,good,almost the same as the current situation,oppose,NA,131
294,palestine,1,good,almost the same as the current situation,accept,NA,132
1218,palestine,1,good,almost the same as the current situation,oppose,NA,133
58,palestine,1,good,almost the same as the current situation,oppose,NA,134
1090,palestine,1,good,almost the same as the current situation,oppose,NA,135
386,palestine,1,good,somewhat worse,accept,NA,136
485,palestine,1,good,somewhat worse,oppose,NA,137
1073,palestine,1,good,somewhat worse,oppose,NA,138
398,palestine,1,good,somewhat worse,oppose,NA,139
786,palestine,1,good,somewhat worse,accept,NA,140
527,palestine,1,good,somewhat worse,oppose,NA,141
881,palestine,1,good,somewhat worse,oppose,NA,142
394,palestine,1,good,somewhat worse,accept,NA,143
669,palestine,1,good,somewhat worse,oppose,NA,144
21,palestine,1,good,somewhat worse,oppose,NA,145
441,palestine,1,good,somewhat worse,accept,NA,146
96,palestine,1,good,somewhat worse,oppose,NA,147
